week,active_partners,active_non_partners,bookers_partners,bookers_non_partners,bookings_flights,bookings_hotels,bookings_cars,bookings_cruises,take_usd_flights,take_usd_hotels,take_usd_cars,take_usd_cruises,bookings_total,take_usd_total,new_accounts_partners,new_accounts_non_partners,churn_rate_partners,churn_rate_non_partners,churned_partners,churned_non_partners,churned_total
21,80822.48821307324,67488.51324606432,80822.48821307324,67488.51324606432,16941.636952355737,3915.1913207633297,1382.7297615943332,201.0030492612928,84708.18476177868,172268.4181135865,6913.648807971666,44220.67083748442,22440.56108397469,308110.9225208213,889.98,1652.83,0.00238,0.00307,187.61501706690896,195.82876353126431,383.44378059817325
22,80636.98469472208,67296.6085636885,80636.98469472208,67296.6085636885,16902.752561009052,3905.161210728873,1379.2913946910808,200.4620040616185,84513.76280504526,171827.0932720704,6896.456973455404,44101.64089355607,22387.667170490626,307338.95394412713,889.98,1652.83,0.00238,0.00307,187.21985062315127,195.35059764586313,382.5704482690144
23,80456.16538381937,67113.14663400193,80456.16538381937,67113.14663400193,16864.850051608293,3895.485848437367,1375.9655827900024,199.94236814901825,84324.25025804146,171401.37733124415,6879.827913950012,43987.320992784014,22336.24385098468,306592.7764960196,1005.37,1867.11,0.00238,0.00307,186.82318519465827,194.86805727554216,381.69124247020045
24,80392.90116220256,67147.73165566461,80392.90116220256,67147.73165566461,16851.58889746169,3894.8872392836556,1375.5085759388944,199.97330398156322,84257.94448730844,171375.03852848086,6877.5428796944725,43994.12687594391,22321.9580166658,306504.6527714277,1051.52,1952.83,0.00238,0.00307,186.42705751461287,194.38602387846538,380.8130813930783
25,80293.4981692294,67114.97181741451,80293.4981692294,67114.97181741451,16830.7525008577,3891.4894285986525,1374.1674030011925,199.83430919247763,84153.76250428849,171225.53485834072,6870.837015005963,43963.54802234508,22296.24364165002,306213.68239998026,1051.52,1952.83,0.00238,0.00307,186.03187261844596,193.90547032391763,379.93734294236356
26,80153.74481353673,67007.01366426604,80153.74481353673,67007.01366426604,16801.458047452892,3884.9660545037464,1371.8389871181678,199.50556912927715,84007.29023726446,170938.50639816484,6859.194935590839,43891.22520844097,22257.768658204084,305696.21677946113,1051.52,1952.83,0.00238,0.00307,185.63762826233193,193.42639206878238,379.0640203311143
27,80007.34553655643,66886.45937209167,80007.34553655643,66886.45937209167,16770.77050670125,3877.921942753125,1369.346460617005,199.14512345928824,83853.85253350626,170628.5654811375,6846.732303085026,43811.927161043415,22217.18403353067,305141.0774787722,1095.41,2034.34,0.00238,0.00307,185.24704510282984,192.95530899939763,378.20235410222745
28,79902.33010803211,66842.50686801095,79902.33010803211,66842.50686801095,16748.757657260576,3874.068706445493,1367.8627247586664,198.978157443938,83743.78828630288,170459.02308360167,6839.313623793332,43775.194637666355,22189.667245908673,304817.31963136425,1205.14,2238.11,0.00238,0.00307,184.86102294088343,192.4943695535043,377.35539249438773
29,79874.6055882462,66941.82355330809,79874.6055882462,66941.82355330809,16742.946171382377,3876.18066892103,1368.264519181253,199.17298303903306,83714.73085691189,170551.94943252532,6841.322595906266,43818.05626858727,22186.564342523692,304926.05915393075,1205.14,2238.11,0.00238,0.00307,184.4759195116825,192.03484519170985,376.51076470339234
30,79762.63022494035,66884.42889414256,79762.63022494035,66884.42889414256,16719.474412535576,3871.7750134380763,1366.607124016567,198.97227304224677,83597.37206267788,170358.10059127535,6833.0356200828355,43773.90006929429,22156.828823032465,304562.4083433304,1205.14,2238.11,0.00238,0.00307,184.09173262864297,191.5767315697061,375.66846419834906
31,79640.16012775147,66807.28942982426,79640.16012775147,66807.28942982426,16693.802796009444,3866.551169208896,1364.6916227281292,198.72181055218883,83469.01398004722,170128.25144519145,6823.458113640646,43718.79832148154,22123.767398498658,304139.52186036087,1268.33,2355.46,0.00238,0.00307,183.70735717896832,191.11738329389777,374.8247404728661
32,79573.73859609231,66833.98364292599,79573.73859609231,66833.98364292599,16679.879821103965,3865.651379759921,1364.1430108135753,198.7335771105349,83399.39910551983,170088.66070943652,6820.715054067877,43721.38696431768,22108.407788787998,304030.1618333419,1426.3,2648.83,0.00238,0.00307,183.31728001385525,190.64359542491127,373.9608754387665
33,79610.92431544805,67052.8404431232,79610.92431544805,67052.8404431232,16687.674519968918,3872.751019120222,1366.1227273747356,199.2305619254392,83438.37259984459,170401.04484128975,6830.613636873678,43830.72362359662,22125.778828389313,304500.75470160466,1426.3,2648.83,0.00238,0.00307,182.92813123239515,190.17126208468258,373.0993933170777
34,79523.66552563854,67040.33826002185,79523.66552563854,67040.33826002185,16669.383735181924,3870.226911877468,1365.0616956167853,199.14355982577513,83346.91867590962,170289.98412260858,6825.308478083926,43811.583161670525,22103.815902501952,304273.79443827266,1426.3,2648.83,0.00238,0.00307,182.5399086250349,189.70037880780836,372.2402874328433
35,79417.82859722433,66993.08435836983,79417.82859722433,66993.08435836983,16647.19868672587,3866.260095356478,1363.5451949828166,198.9689175368856,83235.99343362935,170115.44419568504,6817.725974914083,43773.161858114836,22075.97289460205,303942.3254623433,1426.3,2648.83,0.00238,0.00307,182.15260998748016,189.2309411425942,371.38355113007435
36,79299.60368500197,66922.57482996327,79299.60368500197,66922.57482996327,16622.41692627926,3861.328931614398,1361.72439173774,198.73565755536455,83112.0846313963,169898.47299103352,6808.6219586887,43721.8446621802,22044.205907186762,303541.0242432987,1361.35,2528.21,0.00238,0.00307,181.77234586113366,188.7775870028649,370.54993286399855
37,79109.66437753617,66718.62997892115,79109.66437753617,66718.62997892115,16582.602725291235,3850.8487669924834,1358.1505005144636,198.16562581451853,82913.01362645617,169437.3457476693,6790.752502572318,43596.437679194074,21989.7676186127,302737.54955589183,1350.52,2508.11,0.00238,0.00307,181.3954315417405,188.331482147748,369.72691368948847
38,78951.02911564837,66572.57966441182,78951.02911564837,66572.57966441182,16549.350333857063,3842.7808854488685,1355.3393364061847,197.74184162989104,82746.75166928531,169082.3589597502,6776.6966820309235,43503.20515857603,21945.212397342006,302109.01246964245,1350.52,2508.11,0.00238,0.00307,181.0194142784275,187.88674683453635,368.90616111296384
39,78799.42727109315,66439.32862993318,78799.42727109315,66439.32862993318,16517.572254902218,3835.2491151712793,1352.698050774963,197.35046736264712,82587.86127451109,168750.9610675363,6763.490253874815,43417.10281978237,21902.869888211106,301519.41541570454,1350.52,2508.11,0.00238,0.00307,180.64429193620117,187.44337685873623,368.0876687949374
40,78646.10205857016,66302.62303865797,78646.10205857016,66302.62303865797,16485.432931507978,3827.5770011827126,1350.0128627364015,196.95046603897123,82427.16465753989,168413.38805203934,6750.064313682007,43329.10252857367,21859.973261466064,300919.7195518349,1291.89,2399.23,0.00238,0.00307,180.27238744085943,187.0069378350877,367.27932527594714
41,78432.99771363586,66054.64878360783,78432.99771363586,66054.64878360783,16440.762982281365,3815.2782462884134,1345.8660581480244,196.26965349831232,82203.81491140682,167872.2428366902,6729.330290740122,43179.32376962871,21798.176940216115,299984.7118084658,1247.92,2317.56,0.00238,0.00307,179.90718098236488,186.58576285339257,366.49294383575744
